ccy,date,rate
AUD,2005-04-01,0.7723200494284832
CAD,2005-04-01,0.8225713580653121
CHF,2005-04-01,0.8320852055250457
CNY,2005-04-01,0.12082401981513925
CZK,2005-04-01,0.04329416654399986
DKK,2005-04-01,0.1739765827519616
EUR,2005-04-01,1.296184359652437
GBP,2005-04-01,1.8889308651303365
HKD,2005-04-01,0.12821499089673566
HUF,2005-04-01,0.005247368838080366
ILS,2005-04-01,0.22866027942286146
INR,2005-04-01,0.02288067726804713
JPY,2005-04-01,0.009312721177127958
KRW,2005-04-01,0.0009925558312655087
MYR,2005-04-01,0.2631578947368421
NOK,2005-04-01,0.15811026609957785
NZD,2005-04-01,0.7100759781296598
PLN,2005-04-01,0.3153479865031062
RUB,2005-04-01,0.03590664272890485
SAR,2005-04-01,0.2666524452029225
SEK,2005-04-01,0.14146072343013966
SGD,2005-04-01,0.6030635628995297
THB,2005-04-01,0.025154068670607467
TRY,2005-04-01,0.7380073800738007
TWD,2005-04-01,0.03186235462800701
USD,2005-04-01,1.0
ZAR,2005-04-01,0.16163706014515009
AUD,2005-04-04,0.7665184730952016
CAD,2005-04-04,0.8185985592665357
CHF,2005-04-04,0.8251505899826719
CNY,2005-04-04,0.12082401981513925
CZK,2005-04-04,0.04280473762836071
DKK,2005-04-04,0.17216148747525178
EUR,2005-04-04,1.2827185920239657
GBP,2005-04-04,1.872308556450103
HKD,2005-04-04,0.1282133470094237
HUF,2005-04-04,0.0051872520169332645
ILS,2005-04-04,0.2291213197388017
INR,2005-04-04,0.0228665508094759
JPY,2005-04-04,0.009231053263177328
KRW,2005-04-04,0.0009877030964492073
MYR,2005-04-04,0.2631578947368421
NOK,2005-04-04,0.15656802880851728
NZD,2005-04-04,0.7055171440666008
PLN,2005-04-04,0.31229505636925764
RUB,2005-04-04,0.03596734165377837
SAR,2005-04-04,0.2666524452029225
SEK,2005-04-04,0.13976631072846202
SGD,2005-04-04,0.5999520038396928
THB,2005-04-04,0.025249337204898373
TRY,2005-04-04,0.7326007326007326
TWD,2005-04-04,0.03166160081053698
USD,2005-04-04,1.0
ZAR,2005-04-04,0.15998720102391809
AUD,2005-04-05,0.7662248103593595
CAD,2005-04-05,0.8195377806916899
CHF,2005-04-05,0.8272667107875579
CNY,2005-04-05,0.12082401981513925
CZK,2005-04-05,0.04284471788895506
DKK,2005-04-05,0.17231872070581747
EUR,2005-04-05,1.2837837837837838
GBP,2005-04-05,1.8768768768768769
HKD,2005-04-05,0.1282084156004
HUF,2005-04-05,0.00519483757820828
ILS,2005-04-05,0.2291213197388017
INR,2005-04-05,0.0228665508094759
JPY,2005-04-05,0.009216589861751152
KRW,2005-04-05,0.0009877030964492073
MYR,2005-04-05,0.2631578947368421
NOK,2005-04-05,0.15721787252774894
NZD,2005-04-05,0.7075137965190321
PLN,2005-04-05,0.3125879153511925
RUB,2005-04-05,0.03596734165377837
SAR,2005-04-05,0.2666524452029225
SEK,2005-04-05,0.13990514431215634
SGD,2005-04-05,0.601576129459183
THB,2005-04-05,0.025249337204898373
TRY,2005-04-05,0.735023888276369
TWD,2005-04-05,0.03166310456740284
USD,2005-04-05,1.0
ZAR,2005-04-05,0.16106950148989288
AUD,2005-04-06,0.7648183556405354
CAD,2005-04-06,0.8169267216730659
CHF,2005-04-06,0.8282259400364419
CNY,2005-04-06,0.12082401981513925
CZK,2005-04-06,0.042881462772458086
DKK,2005-04-06,0.17247326664367027
EUR,2005-04-06,1.2849633940304113
GBP,2005-04-06,1.8772292096865029
HKD,2005-04-06,0.12821170316426486
HUF,2005-04-06,0.005206451418081173
ILS,2005-04-06,0.2291213197388017
INR,2005-04-06,0.0228665508094759
